lat,lon,name
-32.13059997558594,133.7100067138672,Ceduna Airport
-33.70970153808594,136.5050048828125,Cleve Airport
-17.5813999176,123.82800293,RAAF Base Curtin
-15.444700241088867,145.1840057373047,Cooktown Airport
-22.773099899291992,147.62100219726562,Clermont Airport
-28.030000686645508,145.6219940185547,Cunnamulla Airport
-30.983299255371094,148.37600708007812,Coonamble Airport
-13.761133,143.113311,Coen Airport
-36.3005981445,148.973999023,Cooma Snowy Mountains Airport
-35.99470138549805,146.35699462890625,Corowa Airport
-36.18280029296875,147.88800048828125,Corryong Airport
-34.6239013671875,148.0279998779297,Cootamundra Airport
-33.84469985961914,148.6490020751953,Cowra Airport
-28.591699600219727,148.2169952392578,Dirranbandi Airport
-17.3700008392334,123.66100311279297,Derby Airport
-35.5593986511,144.945999146,Deniliquin Airport
-41.1697006226,146.429992676,Devonport Airport
-22.62220001220703,148.36399841308594,Dysart Airport
-36.15719985961914,144.76199340820312,Echuca Airport
-12.019399642899998,135.570999146,Elcho Island Airport
-23.5674991608,148.179000854,Emerald Airport
-33.684399,121.822998,Esperance Airport
-33.363602,147.934998,Forbes Airport
-30.83810043334961,128.11500549316406,Forrest Airport
-18.181900024414062,125.55899810791016,Fitzroy Crossing Airport
-30.96109962463379,150.25100708007812,Gunnedah Airport
-28.796101,114.707001,Geraldton Airport
-29.7593994140625,153.02999877929688,Grafton Airport
-23.869699,151.223007,Gladstone Airport
-34.810298919677734,149.7259979248047,Goulburn Airport
-29.674999237060547,151.68899536132812,Glen Innes Airport
-11.40250015258789,130.4219970703125,Garden Point Airport
-13.975000381500001,136.460006714,Groote Eylandt Airport
-34.2508010864,146.067001343,Griffith Airport
-34.53139877319336,144.8300018310547,Hay Airport
-25.3188991547,152.880004883,Hervey Bay Airport
-10.586400032,142.289993286,Horn Island Airport
-18.23390007019043,127.66999816894531,Halls Creek Airport
-37.64889907836914,142.06500244140625,Hamilton Airport
-37.0475006104,147.333999634,Mount Hotham Airport
-35.715301513671875,142.36000061035156,Hopetoun Airport
-36.669700622558594,142.17300415039062,Horsham Airport
-29.888299942,151.143997192,Inverell Airport
-35.751399993896484,143.93899536132812,Kerang Airport
-39.877498626708984,143.8780059814453,King Island Airport
-31.074399948120117,152.77000427246094,Kempsey Airport
-15.485600471496582,141.75100708007812,Kowanyama Airport
-26.580799102783203,151.84100341796875,Kingaroy Airport
-35.71390151977539,137.52099609375,Kingscote Airport
-30.59830093383789,138.42599487304688,Leigh Creek Airport
-28.87809944152832,121.31500244140625,Leonora Airport
-12.7869,143.304993,Lockhart River Airport
-28.8302993774,153.259994507,Lismore Airport
-29.45669937133789,147.98399353027344,Lightning Ridge Airport
-23.4342002869,144.279998779,Longreach Airport
-27.843299865722656,120.7030029296875,Leinster Airport
-38.207199,146.470001,Latrobe Valley Airport
-38.039398,144.468994,Avalon Airport
-36.06779861450195,146.95799255371094,Albury Airport
-17.06920051574707,145.41900634765625,Mareeba Airport
-32.5625,149.610992432,Mudgee Airport
-26.6117000579834,118.5479965209961,Meekatharra Airport
-37.7281,144.901993,Melbourne Essendon Airport
-36.9085998535,149.901000977,Merimbula Airport
-38.098899841299996,147.149002075,RAAF Base East Sale
-12.0560998917,134.23399353,Maningrida Airport
-42.836101532,147.509994507,Hobart International Airport
-34.229198455799995,142.085998535,Mildura Airport
-41.54529953,147.214004517,Launceston Airport
-37.975799560546875,145.1020050048828,Melbourne Moorabbin Airport
-37.673302,144.843002,Melbourne International Airport
-27.286399841308594,120.55500030517578,Mount Keith Airport
-28.116100311279297,117.84200286865234,Mount Magnet Airport
-29.498899459799997,149.845001221,Moree Airport
-22.057800293,148.07699585,Moranbah Airport
-35.8978004456,150.143997192,Moruya Airport
-37.745601654052734,140.78500366210938,Mount Gambier Airport
-34.7022018433,146.511993408,Narrandera Airport
-30.3192005157,149.82699585,Narrabri Airport
-14.722800254821777,134.7469940185547,Ngukurr Airport
-32.214698791503906,148.22500610351562,Narromine Airport
-17.68409,141.069664,Normanton Airport
-23.417800903299998,119.803001404,Newman Airport
-33.3816986084,149.132995605,Orange Airport
-34.945,138.531006,Adelaide International Airport
-32.506900787353516,137.7169952392578,Port Augusta Airport
-23.1711006165,117.745002747,Paraburdoo Airport
-12.41469955444336,130.8769989013672,Darwin International Airport
-31.667800903320312,116.01499938964844,RAAF Base Pearce
-34.70249938964844,138.62100219726562,RAAF Base Edinburgh
-12.269399642899998,136.817993164,Gove Airport
-33.23889923095703,137.9949951171875,Port Pirie Airport
-32.09749984741211,115.88099670410156,Perth Jandakot Airport
-20.712200164799995,116.773002625,Karratha Airport
-30.789400100699996,121.461997986,Kalgoorlie Boulder Airport
-33.131401062,148.238998413,Parkes Airport
-14.25,129.5290069580078,Port Keats Airport
-15.7781000137,128.707992554,Kununurra Airport
-34.6053009033,135.880004883,Port Lincoln Airport
