tllat,tllon,trlat,trlon,brlat,brlon,bllat,bllon,value
-33.8718828924804,151.19484800577345,-33.87188621749878,151.19507495354756,-33.87169691049265,151.19507893942585,-33.87169358549787,151.19485199215222,1.0
-33.87169358549787,151.19485199215222,-33.87169691049265,151.19507893942585,-33.87150760348028,151.1950829252669,-33.8715042785091,151.19485597849376,0.8888888888888893
-33.8715042785091,151.19485597849376,-33.87150760348028,151.1950829252669,-33.87131829646167,151.19508691107072,-33.8713149715141,151.19485996479813,0.5555555555555554
-33.8713149715141,151.19485996479813,-33.87131829646167,151.19508691107072,-33.87112898943681,151.19509089683734,-33.87112566451286,151.19486395106523,0.0
-33.87112566451286,151.19486395106523,-33.87112898943681,151.19509089683734,-33.870939682405734,151.19509488256676,-33.87093635750537,151.19486793729516,0.0
-33.87093635750537,151.19486793729516,-33.870939682405734,151.19509488256676,-33.87075037536841,151.19509886825895,-33.87074705049166,151.19487192348782,0.0
-33.87074705049166,151.19487192348782,-33.87075037536841,151.19509886825895,-33.87056106832485,151.1951028539139,-33.870557743471686,151.1948759096433,0.0
-33.870557743471686,151.1948759096433,-33.87056106832485,151.1951028539139,-33.87037176127504,151.1951068395317,-33.870368436445496,151.19487989576152,0.0
-33.870368436445496,151.19487989576152,-33.87037176127504,151.1951068395317,-33.870182454219005,151.1951108251122,-33.870179129413046,151.19488388184254,0.0
-33.870179129413046,151.19488388184254,-33.870182454219005,151.1951108251122,-33.86999314715673,151.19511481065553,-33.86998982237438,151.19488786788634,0.0
-33.86998982237438,151.19488786788634,-33.86999314715673,151.19511481065553,-33.86980384008821,151.19511879616167,-33.869800515329445,151.19489185389293,0.0
-33.869800515329445,151.19489185389293,-33.86980384008821,151.19511879616167,-33.869614533013454,151.19512278163054,-33.869611208278315,151.19489583986228,0.0
-33.869611208278315,151.19489583986228,-33.869614533013454,151.19512278163054,-33.86942522593245,151.19512676706222,-33.86942190122092,151.19489982579444,0.0
-33.86942190122092,151.19489982579444,-33.86942522593245,151.19512676706222,-33.86923591884522,151.19513075245672,-33.869232594157275,151.19490381168936,0.0
-33.869232594157275,151.19490381168936,-33.86923591884522,151.19513075245672,-33.86904661175175,151.19513473781396,-33.869043287087415,151.19490779754705,0.0
-33.869043287087415,151.19490779754705,-33.86904661175175,151.19513473781396,-33.86885730465204,151.19513872313402,-33.86885398001131,151.19491178336753,0.0
-33.86885398001131,151.19491178336753,-33.86885730465204,151.19513872313402,-33.86866799754608,151.19514270841682,-33.86866467292896,151.1949157691508,0.0
-33.86866467292896,151.1949157691508,-33.86866799754608,151.19514270841682,-33.86847869043391,151.19514669366245,-33.868475365840375,151.19491975489686,0.0
-33.868475365840375,151.19491975489686,-33.86847869043391,151.19514669366245,-33.86828938331549,151.19515067887087,-33.868286058745554,151.1949237406057,0.0
-33.868286058745554,151.1949237406057,-33.86828938331549,151.19515067887087,-33.86810007619081,151.19515466404206,-33.868096751644494,151.1949277262773,0.0
-33.868096751644494,151.1949277262773,-33.86810007619081,151.19515466404206,-33.86791076905991,151.19515864917608,-33.8679074445372,151.19493171191175,0.0
